year,country,population
2021,Singapore,5453566.0
2022,Singapore,5637022.0
2023,Singapore,5917648.0
1985,Japan,120837000.0
1986,Japan,121482000.0
1987,Japan,122069000.0
1988,Japan,122578000.0
1989,Japan,123069000.0
1990,Japan,123478000.0
1991,Japan,123964000.0
1992,Japan,124425000.0
1993,Japan,124829000.0
1994,Japan,125178000.0
1995,Japan,125472000.0
1996,Japan,125757000.0
1997,Japan,126057000.0
1998,Japan,126400000.0
1999,Japan,126631000.0
2000,Japan,126843000.0
2001,Japan,127149000.0
2002,Japan,127445000.0
2003,Japan,127718000.0
2004,Japan,127761000.0
2005,Japan,127773000.0
2006,Japan,127854000.0
2007,Japan,128001000.0
2008,Japan,128063000.0
2009,Japan,128047000.0
2010,Japan,128070000.0
2011,Japan,127833000.0
2012,Japan,127629000.0
2013,Japan,127445000.0
2014,Japan,127276000.0
2015,Japan,127141000.0
2016,Japan,127076000.0
