year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total
2000,145.8,182.5,185.0,129.6,141.2,41.7,46.7,71.0,52.4,100.0,34.6,25.1,33.8,52.2,103.4,6.2,8.5,10.9,19.4,25.6,36.9,86.0,91.7,78.9,108.1,36.7,3.8,4.5,10.1,21.3,10.1,21.5,12.7,17.5,18.4,5.6,4.9,4.0,5.6,4.1,16.4,26.9,19.8,44.4,93.5,10.7,6.9,12.5,12.5,22.1,6.2,7.4,26.4,66.4,42.3,38.8,42.6,21.2,30.8,16.9,42.71166666666668
2001,139.0,177.0,167.3,122.8,135.0,40.1,44.0,73.2,50.2,96.0,32.4,24.3,33.0,50.1,100.0,6.2,8.3,10.3,18.8,24.8,36.1,81.0,88.1,74.4,105.3,34.1,3.6,4.3,9.4,20.1,9.6,20.5,12.2,16.7,17.5,5.5,4.7,3.8,5.5,4.1,15.4,26.1,18.8,43.5,88.7,10.5,6.6,12.0,12.0,20.8,6.1,7.2,25.5,64.7,42.3,37.9,41.3,20.5,30.5,16.4,40.93499999999999
2002,131.3,171.3,149.7,115.0,128.6,38.5,41.6,75.1,48.0,92.2,30.3,23.6,32.2,48.1,96.9,6.2,8.2,9.8,18.4,24.0,35.3,76.4,84.5,70.4,102.8,31.5,3.4,4.1,8.9,19.1,9.0,20.2,11.4,15.9,16.7,5.4,4.6,3.6,5.4,4.0,14.5,25.4,17.8,42.6,84.0,10.3,6.3,11.6,11.6,19.6,6.0,7.0,24.6,63.2,42.2,41.8,40.2,20.0,30.2,16.0,39.27499999999999
2003,123.2,165.6,133.5,106.9,122.2,36.9,39.4,76.3,45.9,88.9,28.3,22.8,31.4,46.2,94.0,6.2,8.1,9.5,17.8,23.2,34.5,72.1,81.1,66.6,100.5,28.9,3.2,4.0,8.6,18.1,8.4,20.0,10.6,15.1,15.9,5.3,4.4,3.4,5.2,3.9,13.8,24.7,16.8,41.7,79.4,10.2,6.1,11.3,11.2,18.5,5.9,6.9,23.7,62.1,41.9,36.7,39.3,19.6,29.9,15.5,37.52166666666667
2004,115.0,160.0,118.6,99.0,115.8,35.3,37.5,77.5,43.7,86.0,26.4,22.2,30.7,44.4,91.4,6.1,8.1,9.3,17.3,22.4,33.7,68.2,77.7,63.3,98.5,26.3,3.1,3.9,8.3,17.1,7.9,19.3,9.7,14.2,15.1,5.2,4.2,3.3,5.0,3.7,13.2,24.0,15.9,40.9,75.0,10.0,5.8,11.0,10.8,17.5,5.8,6.7,22.9,61.4,41.5,36.4,38.7,19.4,29.6,15.1,35.93333333333333
2005,107.1,154.6,105.4,91.6,109.5,33.8,35.8,79.0,41.5,83.4,24.7,21.5,29.9,42.7,89.0,6.1,8.0,9.1,16.7,21.6,32.9,64.5,74.4,60.2,96.6,24.0,3.0,3.7,8.2,16.2,7.5,18.1,8.9,13.3,14.5,5.1,4.1,3.1,4.8,3.6,12.8,23.3,15.0,39.9,70.8,9.8,5.6,10.7,10.4,16.5,5.7,6.6,22.0,60.9,41.2,36.2,38.4,19.2,29.3,14.7,34.445
2006,99.7,149.7,94.0,85.1,103.3,32.3,34.2,78.7,39.3,81.1,23.2,20.9,29.1,41.0,86.9,6.0,7.9,9.0,16.2,20.9,32.1,61.0,71.1,57.5,94.8,21.9,2.9,3.6,8.1,15.3,7.2,16.7,8.4,12.5,13.9,4.9,3.9,3.0,4.6,3.4,12.4,22.7,14.3,39.0,67.0,9.6,5.3,10.3,10.1,15.6,5.6,6.5,21.3,60.5,40.9,36.2,38.2,19.2,28.9,14.3,33.053333333333335
2007,93.0,145.2,84.5,79.4,97.6,31.0,32.7,74.5,37.1,78.7,21.8,20.2,28.3,39.4,84.8,6.0,7.7,8.9,15.8,20.2,31.4,57.7,67.8,54.9,93.0,20.1,2.9,3.5,8.1,14.5,6.8,15.2,8.1,11.9,13.4,4.8,3.7,2.9,4.5,3.3,12.2,22.0,13.7,38.0,63.5,9.4,5.1,9.9,9.9,14.7,5.4,6.5,20.6,60.1,40.4,36.2,38.2,19.2,28.4,14.0,31.71166666666668
2008,86.9,141.3,76.3,74.4,92.2,29.8,31.3,67.9,35.0,75.9,20.6,19.6,27.4,37.8,82.8,5.9,7.6,8.9,15.4,19.5,30.8,54.6,64.5,52.5,91.2,18.5,2.8,3.4,8.1,13.8,6.5,13.9,8.0,11.4,12.9,4.7,3.6,2.8,4.3,3.2,12.0,21.4,13.2,36.9,60.3,9.2,4.9,9.5,9.6,13.8,5.2,6.4,20.1,59.5,40.0,35.9,38.2,19.3,27.8,13.7,30.415000000000003
2009,81.5,138.0,69.6,70.1,87.2,28.7,30.0,60.0,33.1,72.9,19.5,19.0,26.6,36.3,80.9,5.8,7.5,8.8,15.0,19.0,30.2,51.7,61.3,50.3,89.3,17.0,2.8,3.3,8.1,13.1,6.3,13.0,7.8,11.1,12.3,4.6,3.4,2.7,4.2,3.1,11.9,20.8,12.8,35.9,57.5,9.0,4.7,9.1,9.4,13.0,5.0,6.3,19.7,58.9,39.6,35.4,37.9,25.4,27.2,13.4,29.3
